Block_ID,Trial_ID,Condition,Assigned_Delay_ms,Actual_Delay_ms,Timing_Error_ms,Button_Pressed,Response,Reaction_Time_ms,Response_Classification,EMG_Onset_Detected,Flip_Executed,Accuracy,flip_time_ms,button_time_ms,onset_time_ms,scoring_reason
0,35,delay_50,50.0,139.93525505065918,89.93525505065918,T,right,1.0795044999999843,Button_After_Flip,T,T,False,139.93525505065918,278.8674831390381,,incorrect_response_after_flip_to_zero_coherence
0,36,control,n/a,No_Flip,n/a,T,left,0.935214300000098,Button_Before_Flip,F,F,True,,135.9353065490723,,correct_response_before_flip_or_control_trial
0,37,delay_50,50.0,138.93580436706543,88.93580436706543,T,left,1.0832365000001118,Button_After_Flip,T,T,False,138.93580436706543,275.86865425109863,,incorrect_response_after_flip_to_zero_coherence
0,38,control,n/a,No_Flip,n/a,F,,,No_Response,F,F,,,,,no_response
0,39,control,n/a,No_Flip,n/a,T,left,0.9411012000000484,Button_Before_Flip,F,F,True,,136.9345188140869,,correct_response_before_flip_or_control_trial
1,0,control,n/a,No_Flip,n/a,T,right,1.2142539999999826,Button_Before_Flip,F,F,True,,268.8717842102051,,correct_response_before_flip_or_control_trial
1,1,delay_0,0.0,No_Flip,n/a,F,,,No_Response,F,F,,,,,no_response
1,2,control,n/a,No_Flip,n/a,T,left,1.0745469999997113,Button_Before_Flip,F,F,True,,1074.4867324829102,,correct_response_before_flip_or_control_trial
1,3,control,n/a,No_Flip,n/a,T,right,0.5417164000000412,Button_Before_Flip,F,F,True,,541.7404174804688,,correct_response_before_flip_or_control_trial
1,4,delay_200,200.0,272.8703022003174,72.87030220031738,T,left,0.9442367999999988,Button_After_Flip,T,T,False,272.8703022003174,943.5489177703856,,incorrect_response_after_flip_to_zero_coherence
1,5,control,n/a,No_Flip,n/a,T,left,0.9228655000001708,Button_Before_Flip,F,F,True,,922.5583076477052,,correct_response_before_flip_or_control_trial
1,6,delay_250,250.0,265.87820053100586,15.87820053100586,T,right,0.6562721999998757,Button_After_Flip,T,T,False,265.87820053100586,655.6873321533203,,incorrect_response_after_flip_to_zero_coherence
1,7,delay_200,200.0,263.87476921081543,63.87476921081543,T,left,0.7808488999999099,Button_After_Flip,T,T,False,263.87476921081543,780.6274890899658,,incorrect_response_after_flip_to_zero_coherence
1,8,control,n/a,No_Flip,n/a,T,left,0.9103789999999208,Button_Before_Flip,F,F,True,,909.5664024353028,,correct_response_before_flip_or_control_trial
1,9,delay_100,100.0,136.9345188140869,36.934518814086914,T,right,0.7844926000002488,Button_After_Flip,T,T,False,136.9345188140869,783.6258411407471,,incorrect_response_after_flip_to_zero_coherence
1,10,control,n/a,No_Flip,n/a,T,right,0.9095155999998497,Button_Before_Flip,F,F,True,,909.5666408538818,,correct_response_before_flip_or_control_trial
1,11,control,n/a,No_Flip,n/a,T,right,1.0522902000002432,Button_Before_Flip,F,F,True,,1051.4988899230957,,correct_response_before_flip_or_control_trial
1,12,delay_150,150.0,270.8714008331299,120.87140083312988,F,,,No_Response,T,T,,270.8714008331299,,,no_response
1,13,control,n/a,No_Flip,n/a,T,left,0.9332535999997162,Button_Before_Flip,F,F,True,,277.86779403686523,,correct_response_before_flip_or_control_trial
1,14,control,n/a,No_Flip,n/a,T,right,0.7781251999999768,Button_Before_Flip,F,F,True,,132.9364776611328,,correct_response_before_flip_or_control_trial
1,15,control,n/a,No_Flip,n/a,T,left,0.7842380000001867,Button_Before_Flip,F,F,True,,262.8757953643799,,correct_response_before_flip_or_control_trial
1,16,delay_100,100.0,140.93255996704102,40.932559967041016,T,right,0.7955723000000035,Button_Before_Flip,T,T,True,140.93255996704102,136.93475723266602,,correct_response_before_flip_or_control_trial
1,17,control,n/a,No_Flip,n/a,T,right,0.911107500000071,Button_Before_Flip,F,F,True,,131.93702697753906,,correct_response_before_flip_or_control_trial
1,18,control,n/a,No_Flip,n/a,T,right,0.7811603000000105,Button_Before_Flip,F,F,True,,132.93719291687012,,correct_response_before_flip_or_control_trial
1,19,delay_0,0.0,5.999565124511719,5.999565124511719,T,left,1.1703818000000863,Button_After_Flip,T,T,False,5.999565124511719,138.93365859985352,,incorrect_response_after_flip_to_zero_coherence
1,20,delay_150,150.0,263.8742923736572,113.87429237365724,T,left,1.1597827999999026,Button_Before_Flip,T,F,True,263.8742923736572,132.9367160797119,,correct_response_before_flip_or_control_trial
1,21,delay_0,0.0,5.99980354309082,5.99980354309082,T,right,0.6567586999999548,Button_After_Flip,T,T,False,5.99980354309082,138.93365859985352,,incorrect_response_after_flip_to_zero_coherence
1,22,control,n/a,No_Flip,n/a,T,left,0.6539886999998998,Button_Before_Flip,F,F,True,,132.9367160797119,,correct_response_before_flip_or_control_trial
1,23,delay_150,150.0,283.86592864990234,133.86592864990234,T,right,1.46046669999987,Button_Before_Flip,T,T,True,283.86592864990234,279.86836433410645,,correct_response_before_flip_or_control_trial
1,24,control,n/a,No_Flip,n/a,T,left,1.0414367999997012,Button_Before_Flip,F,F,True,,132.93719291687012,,correct_response_before_flip_or_control_trial
1,25,delay_200,200.0,No_Flip,n/a,T,left,0.9187848999999916,Button_Before_Flip,T,F,True,,3.0012130737304688,,correct_response_before_flip_or_control_trial
1,26,delay_50,50.0,135.93792915344238,85.93792915344238,T,left,0.7758628999999928,Button_Before_Flip,T,T,True,135.93792915344238,132.93719291687012,,correct_response_before_flip_or_control_trial
1,27,delay_50,50.0,137.93468475341797,87.93468475341797,T,right,0.9209295999999084,Button_Before_Flip,T,T,True,137.93468475341797,133.93640518188477,,correct_response_before_flip_or_control_trial
1,28,delay_50,50.0,137.93516159057617,87.93516159057617,T,left,1.29615560000002,Button_Before_Flip,T,T,True,137.93516159057617,132.93695449829102,,correct_response_before_flip_or_control_trial
1,29,control,n/a,No_Flip,n/a,T,right,0.9052651000001788,Button_Before_Flip,F,F,True,,260.8757019042969,,correct_response_before_flip_or_control_trial
1,30,delay_250,250.0,261.87801361083984,11.878013610839844,T,right,0.8996673000001465,Button_Before_Flip,T,T,True,261.87801361083984,258.8770389556885,,correct_response_before_flip_or_control_trial
1,31,control,n/a,No_Flip,n/a,T,right,0.7762905999998111,Button_Before_Flip,F,F,True,,131.9375038146973,,correct_response_before_flip_or_control_trial
1,32,delay_50,50.0,138.93795013427734,88.93795013427734,T,right,0.782429399999728,Button_Before_Flip,T,T,True,138.93795013427734,134.93585586547852,,correct_response_before_flip_or_control_trial
1,33,control,n/a,No_Flip,n/a,T,left,0.9083259000003636,Button_Before_Flip,F,F,True,,132.93719291687012,,correct_response_before_flip_or_control_trial
1,34,control,n/a,No_Flip,n/a,T,right,0.7828512999999475,Button_Before_Flip,F,F,True,,133.93592834472656,,correct_response_before_flip_or_control_trial
